;;;;
Germaine Tillion 2022 (82 élèves);Aimé Césaire 2021 (84 élèves); Hannah Arendt 2020 (78 élèves);;
Caisse des dépôts et consignations;;Caisse des dépôts et consignations;;
71;;49;;
Chambres régionales des comptes;Chambres régionales des comptes;Chambres régionales des comptes;;
59;38;63;;
72;51;67;;
73;52;69;;
;;71;;
Conseil d'Etat;Conseil d'Etat;Conseil d'Etat;;
5;3;2;;
6;4;4;;
;6;7;;
;;8;;
Cour des comptes;Cour des comptes;Cour des comptes;;
3;1;9;;
4;8;10;;
;9;12;;
;;13;;
Inspection générale de l'administration;Inspection générale de l'administration;Inspection générale de l'administration;;
20;15;15;;
;;19;;
Inspection générale des affaires sociales;Inspection générale des affaires sociales;Inspection générale des affaires sociales;;
9;10;16;;
;13;20;;
;;30;;
Inspection générale des finances;Inspection générale des finances;Inspection générale des finances;;
1;2;1;;
2;5;3;;
;7;5;;
;;6;;
Ministère de la Culture;Ministère de la Culture;Ministère de la Culture;;
39;30;52;;
43;;;;
44;;;;
Ministère de la Justice;Ministère de la Justice;Ministère de la Justice;;
12;55;72;;
;77;non pourvu;;
Ministère de la transformation et de la fonction publiques;Ministère de la transformation et de la fonction publiques;;;
37;71;;;
57;76;;;
61;;;;
"Ministère de la Transition écologique et de la Cohésion des territoires
";"Ministère de la Transition écologique, ministère de la cohésion des territoires
et des relations avec les collectivités ";Ministère de la Transition écologique;;
46;32;46;;
54;78;77;;
64;;78;;
67;;;;
;;;;
Ministère de l'Agriculture et de la Souveraineté alimentaire;Ministère de l'Agriculture et de l'Alimentation;Ministère de l'Agriculture et de l'Alimentation;;
58;50;43;;
60;53;;;
;;;;
Ministère de l'Economie, des Finances et de la Souveraineté industrielle et numérique;Ministère de l'Economie, des Finances et de la Relance;Ministère de l'Economie, des Finances et de la Relance;;
7;12;17;;
8;14;18;;
10;17;24;;
13;18;26;;
15;20;27;;
16;22;32;;
18;24;33;;
19;27;34;;
24;29;36;;
27;31;38;;
33;34;39;;
34;35;44;;
36;41;65;;
38;59;66;;
45;60;76;;
79;64;;;
;70;;;
"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";Ministère de l’Education nationale, de la Jeunesse et des Sports;;
65;73;70;;
78;74;74;;
;81;;;
;84;;;
Ministère de l'Europe et des Affaires étrangères;Ministère de l'Europe et des Affaires étangères;Ministère de l'Europe et des Affaires étangères;;
14;11;11;;
23;16;14;;
29;21;21;;
32;23;22;;
;25;;;
Ministère de l'Intérieur;Ministère de l'Intérieur;Ministère de l'Intérieur;;
11;19;25;;
25;26;28;;
26;28;37;;
30;40;42;;
31;44;45;;
40;48;58;;
42;57;60;;
48;58;64;;
51;68;;;
69;69;;;
76;;;;
Ministère des Armées;Ministère des Armées;Ministère des Armées;;
35;39;29;;
68;43;61;;
74;47;73;;
75;56;;;
"Ministère du travail, du plein emploi et de l’insertion, ministère de la santé et de la prévention,
ministère des solidarités, de l'autonomie et des personnes handicapées";Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Ministère des Solidarités et de la Santé;;
17;33;31;;
21;36;41;;
22;54;47;;
47;61;51;;
55;63;54;;
56;72;57;;
63;79;;;
66;80;;;
77;82;;;
80;83;;;
Tribunaux administratifs et cours administratives d'appel;Tribunaux administratifs et cours administratives d'appel;Tribunaux administratifs et cours administratives d'appel;;
28;37;23;;
41;42;35;;
49;46;40;;
50;49;50;;
52;62;53;;
53;65;55;;
;66;56;;
;;62;;
;;68;;
Ville de Paris;Ville de Paris;Ville de Paris;;
62;45;48;;
70;67;59;;
81;75;75;;
82;;;;
